,n_estimators,max_depth,max_samples,ccp_alpha,training_accuracy,validation_accuracy,testing_accuracy
0,50,12,0.5,0.0,0.3126932000468155,0.29938049765547453,0.2929998200467878
0,50,12,0.5,0.001,0.28799801722535473,0.2898312626210768,0.2838581968688141
0,50,12,0.75,0.0,0.3174160590976998,0.3076633466817264,0.30127766780637033
0,50,12,0.75,0.001,0.28006691864427785,0.2812746004038745,0.2748605362605723
0,50,12,1.0,0.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,50,12,1.0,0.001,0.024488643795911903,0.022452681657938872,0.021486413532481555
0,50,16,0.5,0.0,0.35725055249189336,0.329807988499846,0.32229620298722333
0,50,16,0.5,0.001,0.3262077369518971,0.3257007906355889,0.32092855857477054
0,50,16,0.75,0.0,0.3696635479273809,0.3359345586473628,0.32636314558214863
0,50,16,0.75,0.001,0.32091345326366083,0.322449258993052,0.3166096814828145
0,50,16,1.0,0.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,16,1.0,0.001,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,0.5,0.0,0.31256239199730124,0.3030085224355683,0.2949433147381681
0,100,12,0.5,0.001,0.28740593868544795,0.2894205428346511,0.2832103653050207
0,100,12,0.75,0.0,0.3244728091372865,0.31604887565458467,0.30998740327514845
0,100,12,0.75,0.001,0.2885212494234119,0.2917137283088613,0.2872053266150801
0,100,12,1.0,0.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,12,1.0,0.001,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,16,0.5,0.0,0.36795615864951015,0.34158195571071637,0.337016375742307
0,100,16,0.5,0.001,0.3290304369677317,0.3299106684464524,0.3244556415332014
0,100,16,0.75,0.0,0.37838637943972847,0.34438854091795873,0.3352528342630916
0,100,16,0.75,0.001,0.3174229437318848,0.3183420611287949,0.31329854237898147
0,100,16,1.0,0.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,100,16,1.0,0.001,0.030381890658239874,0.0317965567991238,0.02936836422530142
0,150,12,0.5,0.0,0.30602887415577174,0.2992093644111305,0.2920280727010977
0,150,12,0.5,0.001,0.28872778844896074,0.2918506349043365,0.28626956991182295
0,150,12,0.75,0.0,0.30740580099276427,0.29674504569257626,0.28976066222782076
0,150,12,0.75,0.001,0.2820083854844373,0.283875825717904,0.2782076660068382
0,150,12,1.0,0.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,12,1.0,0.001,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,16,0.5,0.0,0.3620629117871822,0.33299106684464524,0.32528342630915963
0,150,16,0.5,0.001,0.32849343550130466,0.3280282027586679,0.3231239877631816
0,150,16,0.75,0.0,0.3779733013886307,0.343977821131533,0.3369084038150081
0,150,16,0.75,0.001,0.32081706838507135,0.32186740596228225,0.3155659528522584
0,150,16,1.0,0.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,16,1.0,0.001,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,50,12,0.25,0.0,0.31117169589193877,0.30454872163466473,0.2979305380601044
0,50,12,0.25,0.001,0.29217010554144207,0.29414382037854675,0.2909483534281087
0,50,16,0.25,0.0,0.3571541676133039,0.3345654926926105,0.32999820046787837
0,50,16,0.25,0.001,0.32408038498874364,0.3264195502618339,0.320424689580709
0,100,12,0.25,0.0,0.2962595782473098,0.2916110483622549,0.2861256073420911
0,100,12,0.25,0.001,0.2871030147813096,0.2898654892699456,0.28457800971747343
0,100,16,0.25,0.0,0.3556670866293519,0.333572919875415,0.3288105092675904
0,100,16,0.25,0.001,0.32714404720105195,0.32710408323921003,0.32272809069641895
0,150,12,0.25,0.0,0.3148274366441539,0.30564397439846663,0.2964549217203527
0,150,12,0.25,0.001,0.29139902651272626,0.29428072697402197,0.2881770739607702
0,150,16,0.25,0.0,0.3626756442296439,0.34370400794058253,0.3362605722512147
0,150,16,0.25,0.001,0.3228893432747451,0.32255193893965844,0.3162497750584848
0,50,6,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.25,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.25,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.5,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,8,0.5,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,1.0,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,6,1.0,1.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,50,8,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,50,8,1.0,1.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,50,8,1.0,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,6,1.0,1.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
0,100,6,1.0,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,1.0,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,100,8,1.0,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.75,1.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,0.75,10.0,0.08130752972440809,0.08522435568333504,0.0770199748065503
0,150,6,1.0,1.0,0.04107372754748676,0.04172228497107848,0.04225301421630376
0,150,6,1.0,10.0,0.07374820138931917,0.08279426361364958,0.08677343890588447
